"units","objectType","objects","OID","status","index","ID","objectFullName","defval","objectSyntax","description","maxAccess","augments","reference","objectName","parent","module"
"","OBJECT IDENTIFIER","","1","","","1","SNMPv2-SMI::iso","","","","","","","iso","","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3","","","3","SNMPv2-SMI::org","","","","","","","org","iso","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6","","","6","SNMPv2-SMI::dod","","","","","","","dod","org","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1","","","1","SNMPv2-SMI::internet","","","","","","","internet","dod","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.1","","","1","SNMPv2-SMI::directory","","","","","","","directory","internet","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.2","","","2","SNMPv2-SMI::mgmt","","","","","","","mgmt","internet","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.2.1","","","1","SNMPv2-SMI::mib-2","","","","","","","mib-2","mgmt","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.2.1.10","","","10","SNMPv2-SMI::transmission","","","","","","","transmission","mib-2","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.3","","","3","SNMPv2-SMI::experimental","","","","","","","experimental","internet","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.4","","","4","SNMPv2-SMI::private","","","","","","","private","internet","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.4.1","","","1","SNMPv2-SMI::enterprises","","","","","","","enterprises","private","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.5","","","5","SNMPv2-SMI::security","","","","","","","security","internet","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.6","","","6","SNMPv2-SMI::snmpV2","","","","","","","snmpV2","internet","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.6.1","","","1","SNMPv2-SMI::snmpDomains","","","","","","","snmpDomains","snmpV2","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.6.2","","","2","SNMPv2-SMI::snmpProxys","","","","","","","snmpProxys","snmpV2","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.6.3","","","3","SNMPv2-SMI::snmpModules","","","","","","","snmpModules","snmpV2","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::ExtUTCTime","","OCTET STRING(SIZE(11 |","","","","","ExtUTCTime","","SNMPv2-SMI"
"","MACRO","","","","","","SNMPv2-SMI::MODULE-IDENTITY","","","","","","","MODULE-IDENTITY","","SNMPv2-SMI"
"","MACRO","","","","","","SNMPv2-SMI::OBJECT-IDENTITY","","","","","","","OBJECT-IDENTITY","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::ObjectName","","OBJECT IDENTIFIER","","","","","ObjectName","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::NotificationName","","OBJECT IDENTIFIER","","","","","NotificationName","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::ObjectSyntax","","CHOICE { simple SimpleSyntax, application-wide ApplicationSyntax }","","","","","ObjectSyntax","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::SimpleSyntax","","CHOICE { integer-value INTEGER (-2147483648..2147483647), string-value OCTET STRING (SIZE (0..65535)), objectID-value OBJECT IDENTIFIER }","","","","","SimpleSyntax","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::Integer32","","INTEGER (-2147483648..2147483647)","","","","","Integer32","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::ApplicationSyntax","","CHOICE { ipAddress-value IpAddress, counter-value Counter32, timeticks-value TimeTicks, arbitrary-value Opaque, big-counter-value Counter64, unsigned-integer-value Unsigned32 }","","","","","ApplicationSyntax","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::IpAddress","","[APPLICATION 0] IMPLICIT OCTET STRING (SIZE (4))","","","","","IpAddress","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::Counter32","","[APPLICATION 1] IMPLICIT INTEGER (0..4294967295)","","","","","Counter32","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::Gauge32","","[APPLICATION 2] IMPLICIT INTEGER (0..4294967295)","","","","","Gauge32","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::Unsigned32","","[APPLICATION 2] IMPLICIT INTEGER (0..4294967295)","","","","","Unsigned32","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::TimeTicks","","[APPLICATION 3] IMPLICIT INTEGER (0..4294967295)","","","","","TimeTicks","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::Opaque","","[APPLICATION 4] IMPLICIT OCTET STRING","","","","","Opaque","","SNMPv2-SMI"
"","TEXTUAL-CONVENTION","","","","","","SNMPv2-SMI::Counter64","","[APPLICATION 6] IMPLICIT INTEGER","","","","","Counter64","","SNMPv2-SMI"
"","MACRO","","","","","","SNMPv2-SMI::OBJECT-TYPE","","","","","","","OBJECT-TYPE","","SNMPv2-SMI"
"","MACRO","","","","","","SNMPv2-SMI::NOTIFICATION-TYPE","","","","","","","NOTIFICATION-TYPE","","SNMPv2-SMI"
"","OBJECT IDENTIFIER","","0","","","0","SNMPv2-SMI::zeroDotZero","","","","","","","zeroDotZero","0","SNMPv2-SMI"
"","IMPORT","{ MODULE-IDENTITY,OBJECT-IDENTITY,mib-2 }","","","","","IANA-LANGUAGE-MIB::","","","Objects imported from Module: SNMPv2-SMI","","","","SNMPv2-SMI","","IANA-LANGUAGE-MIB"
"","IMPORT","{ MODULE-IDENTITY,enterprises }","","","","","NET-SNMP-MIB::","","","Objects imported from Module: SNMPv2-SMI","","","","SNMPv2-SMI","","NET-SNMP-MIB"
"","MACRO","","","","","","RFC-1215::TRAP-TYPE","","","","","","","TRAP-TYPE","","RFC-1215"
"","IMPORT","{ iso }","","","","","RFC1155-SMI::","","","Objects imported from Module: SNMPv2-SMI","","","","SNMPv2-SMI","","RFC1155-SMI"
"","OBJECT IDENTIFIER","","1.3","","","3","RFC1155-SMI::org","","","","","","","org","iso","RFC1155-SMI"
"","OBJECT IDENTIFIER","","1.3.6","","","6","RFC1155-SMI::dod","","","","","","","dod","org","RFC1155-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1","","","1","RFC1155-SMI::internet","","","","","","","internet","dod","RFC1155-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.1","","","1","RFC1155-SMI::directory","","","","","","","directory","internet","RFC1155-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.2","","","2","RFC1155-SMI::mgmt","","","","","","","mgmt","internet","RFC1155-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.3","","","3","RFC1155-SMI::experimental","","","","","","","experimental","internet","RFC1155-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.4","","","4","RFC1155-SMI::private","","","","","","","private","internet","RFC1155-SMI"
"","OBJECT IDENTIFIER","","1.3.6.1.4.1","","","1","RFC1155-SMI::enterprises","","","","","","","enterprises","private","RFC1155-SMI"
"","MACRO","","","","","","RFC1155-SMI::OBJECT-TYPE","","","","","","","OBJECT-TYPE","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::ObjectName","","OBJECT IDENTIFIER","","","","","ObjectName","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::ObjectSyntax","","CHOICE { simple SimpleSyntax, application-wide ApplicationSyntax }","","","","","ObjectSyntax","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::SimpleSyntax","","CHOICE { number INTEGER, string OCTET STRING, object OBJECT IDENTIFIER, empty NULL }","","","","","SimpleSyntax","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::ApplicationSyntax","","CHOICE { address NetworkAddress, counter Counter, gauge Gauge, ticks TimeTicks, arbitrary Opaque }","","","","","ApplicationSyntax","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::NetworkAddress","","CHOICE { internet IpAddress }","","","","","NetworkAddress","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::IpAddress","","[APPLICATION 0] IMPLICIT OCTET STRING (SIZE (4))","","","","","IpAddress","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::Counter","","[APPLICATION 1] IMPLICIT INTEGER (0..4294967295)","","","","","Counter","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::Gauge","","[APPLICATION 2] IMPLICIT INTEGER (0..4294967295)","","","","","Gauge","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::TimeTicks","","[APPLICATION 3] IMPLICIT INTEGER (0..4294967295)","","","","","TimeTicks","","RFC1155-SMI"
"","TEXTUAL-CONVENTION","","","","","","RFC1155-SMI::Opaque","","[APPLICATION 4] IMPLICIT OCTET","","","","","Opaque","","RFC1155-SMI"
"","IMPORT","{ ObjectName,NotificationName,ObjectSyntax }","","","","","SNMPv2-CONF::","","","Objects imported from Module: SNMPv2-SMI","","","","SNMPv2-SMI","","SNMPv2-CONF"
"","MACRO","","","","","","SNMPv2-CONF::OBJECT-GROUP","","","","","","","OBJECT-GROUP","","SNMPv2-CONF"
"","MACRO","","","","","","SNMPv2-CONF::NOTIFICATION-GROUP","","","","","","","NOTIFICATION-GROUP","","SNMPv2-CONF"
"","MACRO","","","","","","SNMPv2-CONF::MODULE-COMPLIANCE","","","","","","","MODULE-COMPLIANCE","","SNMPv2-CONF"
"","MACRO","","","","","","SNMPv2-CONF::AGENT-CAPABILITIES","","","","","","","AGENT-CAPABILITIES","","SNMPv2-CONF"
"","IMPORT","{ TimeTicks }","","","","","SNMPv2-TC::","","","Objects imported from Module: SNMPv2-SMI","","","","SNMPv2-SMI","","SNMPv2-TC"
"","MACRO","","","","","","SNMPv2-TC::TEXTUAL-CONVENTION","","","","","","","TEXTUAL-CONVENTION","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","current","","","SNMPv2-TC::DisplayString","","OCTET STRING (SIZE (0..255))","""Represents textual information taken from the NVT ASCII character set, as defined in pages 4, 10-11 of RFC 854. To summarize RFC 854, the NVT ASCII repertoire specifies: - the use of character codes 0-127 (decimal) - the graphics characters (32-126) are interpreted as US ASCII - NUL, LF, CR, BEL, BS, HT, VT and FF have the special meanings specified in RFC 854 - the other 25 codes have no standard interpretation - the sequence 'CR LF' means newline - the sequence 'CR NUL' means carriage-return - an 'LF' not preceded by a 'CR' means moving to the same column on the next line. - the sequence 'CR x' for any x other than LF or NUL is illegal. (Note that this also means that a string may end with either 'CR LF' or 'CR NUL', but not with CR.) Any object defined using this syntax may not exceed 255 characters in length.""","","","","DisplayString","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","current","","","SNMPv2-TC::PhysAddress","","OCTET STRING","""Represents media- or physical-level addresses.""","","","","PhysAddress","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","current","","","SNMPv2-TC::MacAddress","","OCTET STRING (SIZE (6))","""Represents an 802 MAC address represented in the `canonical' order defined by IEEE 802.1a, i.e., as if it were transmitted least significant bit first, even though 802.5 (in contrast to other 802.x protocols) requires MAC addresses to be transmitted most significant bit first.""","","","","MacAddress","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","current","","","SNMPv2-TC::TruthValue","","INTEGER { true(1), false(2) }","""Represents a boolean value.""","","","","TruthValue","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","current","","","SNMPv2-TC::TestAndIncr","","INTEGER (0..2147483647)","""Represents integer-valued information used for atomic operations. When the management protocol is used to specify that an object instance having this syntax is to be modified, the new value supplied via the management protocol must precisely match the value presently held by the instance. If not, the management protocol set operation fails with an error of `inconsistentValue'. Otherwise, if the current value is the maximum value of 2^31-1 (2147483647 decimal), then the value held by the instance is wrapped to zero; otherwise, the value held by the instance is incremented by one. (Note that regardless of whether the management protocol set operation succeeds, the variable- binding in the request and response PDUs are identical.) The value of the ACCESS clause for objects having this syntax is either `read-write' or `read-create'. When an instance of a columnar object having this syntax is created, any value may be supplied via the management protocol. When the network management portion of the system is re- initialized, the value of every object instance having this syntax must either be incremented from its value prior to the re-initialization, or (if the value prior to the re- initialization is unknown) be set to a pseudo-randomly generated value.""","","","","TestAndIncr","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","current","","","SNMPv2-TC::AutonomousType","","OBJECT IDENTIFIER","""Represents an independently extensible type identification value. It may, for example, indicate a particular sub-tree with further MIB definitions, or define a particular type of protocol or hardware.""","","","","AutonomousType","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","obsolete","","","SNMPv2-TC::InstancePointer","","OBJECT IDENTIFIER","""A pointer to either a specific instance of a MIB object or a conceptual row of a MIB table in the managed device. In the latter case, by convention, it is the name of the particular instance of the first accessible columnar object in the conceptual row. The two uses of this textual convention are replaced by VariablePointer and RowPointer, respectively.""","","","","InstancePointer","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","current","","","SNMPv2-TC::VariablePointer","","OBJECT IDENTIFIER","""A pointer to a specific object instance. For example, sysContact.0 or ifInOctets.3.""","","","","VariablePointer","","SNMPv2-TC"
"","TEXTUAL-CONVENTION","","","current","","","SNMPv2-TC::RowPointer","","OBJECT IDENTIFIER","""Represents a pointer to a conceptual row. The value is the name of the instance of the first accessible columnar object in the conceptual row. For example, ifIndex.3 would point to the 3rd row in the ifTable (note that if ifIndex were not-accessible, then ifDescr.3 would be used instead).""","","","","RowPointer","","SNMPv2-TC"
